"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"C","Joel Embiid",10100,"PHI@MIN 12/12/2017 09:30PM ET",46.774,"PHI","MIN",51.19,50.9,58
"PG/SF","Ben Simmons",9800,"PHI@MIN 12/12/2017 09:30PM ET",46.09,"PHI","MIN",46.71,45.5,21.25
"C","Karl-Anthony Towns",8700,"PHI@MIN 12/12/2017 09:30PM ET",41.75,"MIN","PHI",45.25,46.3,57
"SG","Jimmy Butler",8000,"PHI@MIN 12/12/2017 09:30PM ET",37.15,"MIN","PHI",40.16,42.4,53
"SG/SF","Devin Booker",7800,"PHO@SAC 12/12/2017 10:00PM ET",38.3,"PHO","SAC",0,0,0
"PF/C","Zach Randolph",7100,"PHO@SAC 12/12/2017 10:00PM ET",29.031,"SAC","PHO",31.45,31.8,34.75
"SF/PF","TJ Warren",6900,"PHO@SAC 12/12/2017 10:00PM ET",30.536,"PHO","SAC",39.48,36.9,27.75
"PG","Jeff Teague",6500,"PHI@MIN 12/12/2017 09:30PM ET",31.696,"MIN","PHI",30.8,31.5,23.75
"SF/PF","Robert Covington",6200,"PHI@MIN 12/12/2017 09:30PM ET",31.49,"PHI","MIN",27.84,0,0
"PF/C","Taj Gibson",6000,"PHI@MIN 12/12/2017 09:30PM ET",26.694,"MIN","PHI",28.36,28.3,32.5
"SF/PF","Andrew Wiggins",6000,"PHI@MIN 12/12/2017 09:30PM ET",29.269,"MIN","PHI",31.84,29.6,37.75
"PF/C","Dario Saric",5700,"PHI@MIN 12/12/2017 09:30PM ET",25.19,"PHI","MIN",26,27.7,30.5
"SG/SF","Buddy Hield",5600,"PHO@SAC 12/12/2017 10:00PM ET",22.625,"SAC","PHO",24.27,25.2,17.5
"SG/SF","JJ Redick",5400,"PHI@MIN 12/12/2017 09:30PM ET",27.24,"PHI","MIN",27.38,26.9,33
"PF/C","Willie Cauley-Stein",5300,"PHO@SAC 12/12/2017 10:00PM ET",23.946,"SAC","PHO",25.99,27,23.5
"PF/C","Greg Monroe",5000,"PHO@SAC 12/12/2017 10:00PM ET",22.219,"PHO","SAC",0,0,0
"PG","De'Aaron Fox",4700,"PHO@SAC 12/12/2017 10:00PM ET",21.192,"SAC","PHO",22.87,23.3,12
"C","Tyson Chandler",4500,"PHO@SAC 12/12/2017 10:00PM ET",22.763,"PHO","SAC",19.24,23.5,25
"PF/C","Alex Len",4500,"PHO@SAC 12/12/2017 10:00PM ET",23.489,"PHO","SAC",22.3,23,25
"PG","Mike James",4300,"PHO@SAC 12/12/2017 10:00PM ET",21.973,"PHO","SAC",25.96,21.3,25.75
"SG/SF","Josh Jackson",4300,"PHO@SAC 12/12/2017 10:00PM ET",17.42,"PHO","SAC",24.51,23.1,16.75
"PF/C","Trevor Booker",4300,"PHI@MIN 12/12/2017 09:30PM ET",22.975,"PHI","MIN",9.38,10.5,31.75
"PG","TJ McConnell",4300,"PHI@MIN 12/12/2017 09:30PM ET",20.845,"PHI","MIN",15.46,16.2,18
"PG","Tyler Ulis",4200,"PHO@SAC 12/12/2017 10:00PM ET",17.769,"PHO","SAC",21.66,23,19.75
