"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","DeMarcus Cousins",10400,"NO@POR 12/02/2017 10:00PM ET",55.048,"NO","POR",59.63,0,50
"PF/C","Anthony Davis",9900,"NO@POR 12/02/2017 10:00PM ET",49.475,"NO","POR",0,0,0
"PG","Damian Lillard",8900,"NO@POR 12/02/2017 10:00PM ET",43.989,"POR","NO",44.75,0,50.75
"C","Nikola Jokic",8600,"LAL@DEN 12/02/2017 09:00PM ET",39.881,"DEN","LAL",0,0,0
"C","Jusuf Nurkic",7000,"NO@POR 12/02/2017 10:00PM ET",31.33,"POR","NO",34.8,0,14
"SG/SF","Will Barton",6800,"LAL@DEN 12/02/2017 09:00PM ET",28.964,"DEN","LAL",38.6,0,34.5
"PG/SG","CJ McCollum",6700,"NO@POR 12/02/2017 10:00PM ET",33.798,"POR","NO",31.72,0,26.5
"PG","Lonzo Ball",6600,"LAL@DEN 12/02/2017 09:00PM ET",33.024,"LAL","DEN",33.44,0,29.75
"PF/C","Paul Millsap",6400,"LAL@DEN 12/02/2017 09:00PM ET",31.828,"DEN","LAL",0,0,0
"SG/SF","Brandon Ingram",6300,"LAL@DEN 12/02/2017 09:00PM ET",29.536,"LAL","DEN",29.13,0,24.5
"PG/SG","Jrue Holiday",6000,"NO@POR 12/02/2017 10:00PM ET",32.095,"NO","POR",36.97,0,33.75
"SG","Kentavious Caldwell-Pope",5900,"LAL@DEN 12/02/2017 09:00PM ET",28.618,"LAL","DEN",27.91,0,13
"SG","Gary Harris",5800,"LAL@DEN 12/02/2017 09:00PM ET",26.842,"DEN","LAL",30.82,0,32
"SF/PF","Kyle Kuzma",5600,"LAL@DEN 12/02/2017 09:00PM ET",27.95,"LAL","DEN",21.15,0,29
"SF/PF","Larry Nance",5500,"LAL@DEN 12/02/2017 09:00PM ET",25.35,"LAL","DEN",22.6,0,10.5
"PF/C","Julius Randle",5100,"LAL@DEN 12/02/2017 09:00PM ET",24.988,"LAL","DEN",25.52,0,26.5
"C","Brook Lopez",5000,"LAL@DEN 12/02/2017 09:00PM ET",25.929,"LAL","DEN",21.35,0,27.75
"PG/SG","Jordan Clarkson",4900,"LAL@DEN 12/02/2017 09:00PM ET",24.679,"LAL","DEN",22.55,0,21.75
"PG/SG","Jamal Murray",4900,"LAL@DEN 12/02/2017 09:00PM ET",21.929,"DEN","LAL",29.46,0,44.5
"SF/PF","Wilson Chandler",4800,"LAL@DEN 12/02/2017 09:00PM ET",19.792,"DEN","LAL",0,0,0
"PF/C","Kenneth Faried",4800,"LAL@DEN 12/02/2017 09:00PM ET",12.444,"DEN","LAL",30.7,0,27.25
"PG","Rajon Rondo",4600,"NO@POR 12/02/2017 10:00PM ET",17.875,"NO","POR",28.08,0,38.5
"SF/PF","Al-Farouq Aminu",4300,"NO@POR 12/02/2017 10:00PM ET",22.8,"POR","NO",16.39,0,13.25
"PF/C","Noah Vonleh",4100,"NO@POR 12/02/2017 10:00PM ET",17.55,"POR","NO",17.06,0,17.75
"SG/SF","Evan Turner",3900,"NO@POR 12/02/2017 10:00PM ET",18.284,"POR","NO",19.14,0,8
"PG","Emmanuel Mudiay",3900,"LAL@DEN 12/02/2017 09:00PM ET",19.607,"DEN","LAL",16.85,0,17.75
"PF/C","Mason Plumlee",3800,"LAL@DEN 12/02/2017 09:00PM ET",16.179,"DEN","LAL",29.3,0,28
