"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","James Harden",11600,"CHA@HOU 12/13/2017 09:30PM ET",58.09,"HOU","CHA",59.97,58.2,42
"PG/SG","Chris Paul",8400,"CHA@HOU 12/13/2017 09:30PM ET",40.795,"HOU","CHA",43.83,44.5,62.75
"PG","Kyle Lowry",8300,"TOR@PHO 12/13/2017 09:00PM ET",37.95,"TOR","PHO",42.62,41.3,28
"SG/SF","DeMar DeRozan",8300,"TOR@PHO 12/13/2017 09:00PM ET",38.65,"TOR","PHO",42.21,41.9,51.25
"SG/SF","Devin Booker",7800,"TOR@PHO 12/13/2017 09:00PM ET",38.3,"PHO","TOR",0,0,0
"C","Dwight Howard",7600,"CHA@HOU 12/13/2017 09:30PM ET",35.827,"CHA","HOU",40.74,40.1,55.5
"PG","Kemba Walker",7500,"CHA@HOU 12/13/2017 09:30PM ET",38.552,"CHA","HOU",39.79,36.1,27.75
"SF/PF","TJ Warren",6700,"TOR@PHO 12/13/2017 09:00PM ET",30.536,"PHO","TOR",34.44,34.2,21.75
"C","Clint Capela",6700,"CHA@HOU 12/13/2017 09:30PM ET",34.46,"HOU","CHA",32.51,30.4,31.75
"SG/SF","Nicolas Batum",6000,"CHA@HOU 12/13/2017 09:30PM ET",24.167,"CHA","HOU",23.51,28.1,25.75
"PF/C","Serge Ibaka",5700,"TOR@PHO 12/13/2017 09:00PM ET",24.826,"TOR","PHO",28.14,27.1,43.75
"SG/SF","Jeremy Lamb",5400,"CHA@HOU 12/13/2017 09:30PM ET",27.77,"CHA","HOU",16.29,22.5,9.75
"SG/SF","Trevor Ariza",4900,"CHA@HOU 12/13/2017 09:30PM ET",24.424,"HOU","CHA",26,24.9,24
"SF/PF","Marvin Williams",4900,"CHA@HOU 12/13/2017 09:30PM ET",20,"CHA","HOU",25.18,21.5,10.25
"SG","Eric Gordon",4900,"CHA@HOU 12/13/2017 09:30PM ET",27.707,"HOU","CHA",25.79,25.2,20.5
"PF/C","Greg Monroe",4800,"TOR@PHO 12/13/2017 09:00PM ET",22.219,"PHO","TOR",29.59,29.3,37.25
"C","Jonas Valanciunas",4700,"TOR@PHO 12/13/2017 09:00PM ET",22.143,"TOR","PHO",24.47,23.7,37.25
"C","Tyson Chandler",4400,"TOR@PHO 12/13/2017 09:00PM ET",22.763,"PHO","TOR",0,0,0
"PF/C","Alex Len",4400,"TOR@PHO 12/13/2017 09:00PM ET",23.489,"PHO","TOR",22.79,22.3,31.5
"SF","Michael Kidd-Gilchrist",4400,"CHA@HOU 12/13/2017 09:30PM ET",19.413,"CHA","HOU",24.24,20.8,38.25
"PG","Mike James",4300,"TOR@PHO 12/13/2017 09:00PM ET",21.973,"PHO","TOR",21.05,20.8,21.5
"PF/C","Ryan Anderson",4300,"CHA@HOU 12/13/2017 09:30PM ET",21.854,"HOU","CHA",16.38,16.3,16.25
